species,order,status,mean.within,max.within,n.haplo,min.between,reads,size,island
Diptera_53,Diptera,unknown,0,0,3,0.2466,41,1,2
Diptera_30,Diptera,unknown,0.0036,0.0072,1,0.1406,121,4,1
Diptera_33,Diptera,unknown,0,0,1,0.1328,39,1,2
Diptera_25,Diptera,unknown,0,0,1,0.1328,87,2,1
Diptera_44,Diptera,unknown,0.0513,0.0878,1,0.2172,16,2,1
Diptera_62,Diptera,unknown,0,0,1,0.1321,9,2,2
Diptera_13,Diptera,unknown,0,0,1,0.1321,45,2,1
Diptera_50,Diptera,unknown,0,0,1,0.176,32,1,1
Diptera_40,Diptera,unknown,0,0,3,0.1786,58,2,2
Diptera_20,Diptera,unknown,0.0108,0.0244,1,0.2464,55,3,1
Diptera_18,Diptera,unknown,0,0,1,0.2237,83,2,1
Diptera_5,Diptera,unknown,0,0,1,0.1954,52,1,1
Diptera_2,Diptera,unknown,0.0323,0.071,13,0.0721,8593,4,4
Diptera_71,Diptera,unknown,0,0,1,0.0721,10,2,1
Diptera_23,Diptera,unknown,0,0,1,0.2157,55,1,3
Diptera_11,Diptera,invasive,0,0,1,0.1768,431,4,1
Diptera_66,Diptera,unknown,0,0,1,0.2023,6,1,1
Diptera_52,Diptera,unknown,0,0,1,0.2704,32,2,1
Diptera_59,Diptera,unknown,0,0,1,0.1371,36,1,1
Diptera_7,Diptera,unknown,0.0791,0.144,5,0.1371,337,4,4
Diptera_12,Diptera,unknown,0.0072,0.0153,3,0.1198,160,2,1
Diptera_76,Diptera,unknown,0.0148,0.0279,7,0.0842,207,1,2
Diptera_74,Diptera,unknown,0.0196,0.0477,3,0.0672,89,1,1
Diptera_107,Diptera,unknown,0.0048,0.0096,1,0.0672,12,1,1
Diptera_77,Diptera,unknown,0.006,0.0121,1,0.0805,27,1,1
Diptera_109,Diptera,unknown,0.0012,0.0024,1,0.0552,42,3,1
Diptera_108,Diptera,unknown,0.0012,0.0024,1,0.0523,15,2,1
Diptera_79,Diptera,unknown,0,0,2,0.0523,37,1,2
Diptera_78,Diptera,unknown,0,0,5,0.0825,102,1,2
Diptera_72,Diptera,unknown,0.0053,0.0118,1,0.0918,6,1,1
Diptera_75,Diptera,native,0,0,7,0.0866,131,2,2
Diptera_80,Diptera,unknown,0,0,1,0.0863,57,3,1
Diptera_81,Diptera,unknown,0,0,1,0.1163,41,1,1
Diptera_29,Diptera,unknown,0,0,1,0.1301,94,2,3
Diptera_73,Diptera,unknown,0.0562,0.0971,1,0.1187,377,4,2
Diptera_55,Diptera,unknown,0,0,1,0.1509,12,1,1
Diptera_26,Diptera,unknown,0,0,5,0.1516,283,2,1
Diptera_46,Diptera,unknown,0,0,4,0.1929,40,2,3
Diptera_4,Diptera,invasive,0.0565,0.103,3,0.1382,385,1,3
Diptera_96,Diptera,unknown,0.0022,0.0051,5,0.0433,200,3,2
Diptera_98,Diptera,unknown,0,0,1,0.0446,11,2,1
Diptera_97,Diptera,unknown,0,0,1,0.0397,16,2,1
Diptera_35,Diptera,unknown,0,0,1,0.0397,37,1,2
Diptera_95,Diptera,unknown,0,0,1,0.0522,81,3,1
Diptera_45,Diptera,unknown,0.0228,0.0579,4,0.1141,118,1,2
Diptera_100,Diptera,unknown,0,0,1,0.1173,14,2,1
Diptera_104,Diptera,unknown,0,0,1,0.0851,8,1,1
Diptera_103,Diptera,unknown,0.0036,0.0072,1,0.0851,18,1,1
Diptera_102,Diptera,unknown,0.0288,0.0575,2,0.1039,40,2,2
Diptera_101,Diptera,unknown,0,0,1,0.1039,78,3,1
Diptera_65,Diptera,unknown,0,0,1,0.1228,13,1,2
Diptera_90,Diptera,unknown,0.0098,0.0199,1,0.1219,40,1,1
Diptera_88,Diptera,unknown,0.047,0.068,2,0.1144,40,2,1
Diptera_93,Diptera,unknown,0.0044,0.0104,3,0.1028,71,2,1
Diptera_91,Diptera,unknown,0.0218,0.0491,10,0.1028,170,2,2
Diptera_106,Diptera,unknown,0,0,2,0.0451,25,1,1
Diptera_105,Diptera,unknown,0,0,2,0.0409,46,1,1
Diptera_15,Diptera,unknown,0.0028,0.0055,13,0.0409,91,2,1
Diptera_94,Diptera,unknown,0,0,3,0.1103,70,2,1
Diptera_89,Diptera,unknown,0.0158,0.0253,1,0.0938,6,2,1
Diptera_92,Diptera,unknown,0,0,3,0.0938,315,4,1
Diptera_6,Diptera,unknown,0.0036,0.0072,2,0.1323,457,4,2
Diptera_37,Diptera,unknown,0,0,1,0.1369,27,2,1
Diptera_36,Diptera,unknown,0,0,2,0.1584,100,1,1
Diptera_28,Diptera,invasive,0,0,1,0.1611,31,3,1
Diptera_38,Diptera,unknown,0.0175,0.038,1,0.0975,31,2,1
Diptera_99,Diptera,unknown,0.0311,0.0622,3,0.0975,147,3,1
Diptera_70,Diptera,unknown,0,0,2,0.1559,18,1,1
Diptera_86,Diptera,unknown,0,0,1,0.0907,39,1,1
Diptera_87,Diptera,unknown,0,0,1,0.0753,14,1,1
Diptera_84,Diptera,unknown,0,0,13,0.0753,972,1,1
Diptera_82,Diptera,invasive,0.0314,0.0564,1,0.0774,12,2,1
Diptera_85,Diptera,unknown,0.0072,0.0145,3,0.0774,4,2,1
Diptera_83,Diptera,unknown,0,0,1,0.0954,16,2,1
Hemiptera_4,Hemiptera,unknown,0.0102,0.024,15,0.053,20879,4,4
Hemiptera_69,Hemiptera,unknown,0.0096,0.0218,13,0.088,606,2,1
Hemiptera_217,Hemiptera,unknown,0,0,1,0.088,10,2,1
Hemiptera_29,Hemiptera,unknown,0.0052,0.011,3,0.1121,502,2,1
Hemiptera_219,Hemiptera,unknown,0,0,1,0.0598,2,2,1
Hemiptera_161,Hemiptera,unknown,0,0,1,0.0598,9,2,1
Hemiptera_170,Hemiptera,unknown,0,0,1,0.1537,35,2,1
Hemiptera_163,Hemiptera,unknown,0,0,1,0.168,10,3,1
Hemiptera_114,Hemiptera,native,0,0,1,0.1414,59,2,1
Hemiptera_70,Hemiptera,native,0.0077,0.0162,5,0.146,278,3,1
Hemiptera_158,Hemiptera,unknown,0.0074,0.0146,5,0.0676,229,2,1
Hemiptera_23,Hemiptera,unknown,0,0,1,0.0676,480,2,1
Hemiptera_137,Hemiptera,unknown,0,0,1,0.1193,21,2,1
Hemiptera_181,Hemiptera,unknown,0,0,1,0.1,15,2,1
Hemiptera_98,Hemiptera,unknown,0.0131,0.0248,7,0.1395,315,1,1
Hemiptera_203,Hemiptera,native,0,0,1,0.0393,44,3,1
Hemiptera_47,Hemiptera,native,0,0,1,0.0393,309,3,1
Hemiptera_130,Hemiptera,unknown,0,0,1,0.1402,61,3,1
Hemiptera_72,Hemiptera,unknown,0.0041,0.0079,5,0.0834,372,2,1
Hemiptera_105,Hemiptera,unknown,0.0118,0.03,4,0.0722,100,2,1
Hemiptera_34,Hemiptera,unknown,0.0134,0.0295,3,0.0722,488,2,1
Hemiptera_176,Hemiptera,unknown,0.0012,0.0024,2,0.0406,105,3,1
Hemiptera_91,Hemiptera,unknown,0,0,1,0.0406,136,2,1
Hemiptera_152,Hemiptera,native,0.015,0.0324,6,0.1441,172,2,1
Hemiptera_175,Hemiptera,unknown,0.0024,0.0048,2,0.1616,21,2,1
Hemiptera_194,Hemiptera,unknown,0.0048,0.0096,2,0.1655,30,1,1
Hemiptera_149,Hemiptera,native,0.0048,0.0096,2,0.1617,128,2,1
Hemiptera_104,Hemiptera,unknown,0,0,1,0.1617,24,2,1
Hemiptera_121,Hemiptera,unknown,0,0,1,0.0778,67,2,1
Hemiptera_54,Hemiptera,unknown,0,0,1,0.0778,259,2,1
Hemiptera_136,Hemiptera,unknown,0,0,1,0.18,24,3,1
Hemiptera_189,Hemiptera,unknown,0.0024,0.0048,2,0.1844,37,3,1
Hemiptera_164,Hemiptera,unknown,0,0,1,0.1777,70,3,1
Hemiptera_120,Hemiptera,native,0.0012,0.0024,2,0.2234,99,2,1
Hemiptera_133,Hemiptera,unknown,0,0,1,0.1994,10,2,1
Hemiptera_57,Hemiptera,unknown,0,0,1,0.1994,153,4,1
Hemiptera_123,Hemiptera,unknown,0.0072,0.0145,2,0.2661,86,3,1
Hemiptera_207,Hemiptera,unknown,0,0,1,0.055,18,2,1
Hemiptera_30,Hemiptera,unknown,0.0045,0.0095,4,0.055,302,2,1
Hemiptera_3,Hemiptera,unknown,0.0364,0.0709,38,0.159,12981,2,1
Hemiptera_141,Hemiptera,unknown,0.0012,0.0024,2,0.159,115,2,1
Hemiptera_197,Hemiptera,unknown,0,0,1,0.1721,7,2,1
Hemiptera_209,Hemiptera,unknown,0,0,1,0.2196,5,2,1
Hemiptera_146,Hemiptera,unknown,0,0,1,0.0914,62,3,3
Hemiptera_75,Hemiptera,invasive,0,0,1,0.0914,83,3,3
Hemiptera_185,Hemiptera,unknown,0,0,1,0.2151,4,2,1
Hemiptera_27,Hemiptera,unknown,0,0,1,0.2151,124,4,1
Hemiptera_48,Hemiptera,unknown,0.0143,0.0299,8,0.0505,179,2,1
Hemiptera_156,Hemiptera,unknown,0,0,1,0.0493,9,2,1
Hemiptera_66,Hemiptera,unknown,0,0,1,0.0493,77,2,1
Hemiptera_32,Hemiptera,unknown,0.0075,0.021,9,0.0941,191,2,2
Hemiptera_85,Hemiptera,unknown,0,0,1,0.0976,40,1,1
Hemiptera_208,Hemiptera,unknown,0,0,1,0.0859,11,2,1
Hemiptera_174,Hemiptera,unknown,0,0,1,0.0817,11,2,1
Hemiptera_168,Hemiptera,unknown,0.0085,0.0169,2,0.0556,49,2,1
Hemiptera_184,Hemiptera,unknown,0,0,1,0.0556,16,2,1
Hemiptera_154,Hemiptera,unknown,0,0,1,0.0781,9,2,1
Hemiptera_74,Hemiptera,unknown,0,0,1,0.0781,40,2,1
Hemiptera_20,Hemiptera,unknown,0.015,0.034,14,0.0567,999,2,1
Hemiptera_76,Hemiptera,unknown,0.0202,0.0429,4,0.0567,151,2,1
Hemiptera_142,Hemiptera,unknown,0,0,1,0.0965,10,2,1
Hemiptera_62,Hemiptera,unknown,0.0036,0.0072,2,0.0893,47,2,1
Hemiptera_109,Hemiptera,unknown,0,0,1,0.1172,35,2,1
